,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
31,   R$ 2.700 /Mês  ,  2   Quartos  ,"Rua Leopoldo Couto Magalhães Júnior - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 79 , Itaim Bibi,Rua Leopoldo Couto Magalhães Júnior
32,   R$ 1.390 /Mês  ,  1   Quarto  ,"Rua Guimarães Passos, 133 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 60 , Vila Mariana,"Rua Guimarães Passos, 133"
33,   R$ 850 /Mês  ,  1   Quarto  ,"Rua Plínio Salgado, 245 - Jardim Peri Peri, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 15 , Jardim Peri Peri,"Rua Plínio Salgado, 245"
34,   R$ 3.950 /Mês  ,  2   Quartos  ,"Rua Leopoldo de Bulhões, 59 - Vila Clementino, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 57 , Vila Clementino,"Rua Leopoldo de Bulhões, 59"
35,   R$ 7.800 /Mês  ,  3   Quartos  ,"Rua Carlos Weber, 757 - Vila Leopoldina, São Paulo - SP",  5   Banheiros  ,  3   Vagas  , 175 , Vila Leopoldina,"Rua Carlos Weber, 757"
0,   R$ 7.400 /Mês  ,  3   Quartos  ,"Rua Araguari - Vila Uberabinha, São Paulo - SP",  5   Banheiros  ,  2   Vagas  , 124 , Vila Uberabinha,Rua Araguari
1,   R$ 2.950 /Mês  ,  1   Quarto  ,"Rua Tucuna, 824 - Perdizes, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Perdizes,"Rua Tucuna, 824"
2,   R$ 1.500 /Mês  ,  2   Quartos  ,"Rua Coronel Camisão, 409 - Vila Gomes, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 72 , Vila Gomes,"Rua Coronel Camisão, 409"
3,   R$ 3.100 /Mês  ,  3   Quartos  ,"Rua Giovani Recordati, 153 - Parque São Domingos, São Paulo - SP",  2   Banheiros  ,  2   Vagas  , 74 , Parque São Domingos,"Rua Giovani Recordati, 153"
4,   R$ 4.200 /Mês    R$ 770.000   ,  1   Quarto  ,"Rua George Ohm, 330 - Cidade Monções, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 52 , Cidade Monções,"Rua George Ohm, 330"
5,   R$ 4.000 /Mês  ,  2   Quartos  ,"Rua Major Quedinho - Centro, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 65 , Centro,Rua Major Quedinho
6,   R$ 5.000 /Mês  ,  2   Quartos  ,"Avenida Doutor Cardoso de Melo, 1046 - Vila Olímpia, São Paulo - SP",  3   Banheiros  ,  2   Vagas  , 81 , Vila Olímpia,"Avenida Doutor Cardoso de Melo, 1046"
7,   R$ 3.900 /Mês  ,  2   Quartos  ,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 54 , Consolação,"Rua Caio Prado, 363"
8,   R$ 7.000 /Mês  ,  2   Quartos  ,"Rua Kansas, 1700 - Brooklin Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 84 , Brooklin Paulista,"Rua Kansas, 1700"
9,   R$ 3.400 /Mês  ,  2   Quartos  ,"Rua Oscar Caravelas, 280 - Sumarezinho, São Paulo - SP",  2   Banheiros  ,  2   Vagas  , 88 , Sumarezinho,"Rua Oscar Caravelas, 280"
10,   R$ 1.500 /Mês  ,  1   Quarto  ,"Rua Maria Antônia, 173 - Vila Buarque, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 26 , Vila Buarque,"Rua Maria Antônia, 173"
11,   R$ 5.500 /Mês  ,  3   Quartos  ,"Rua João Lourenço, 763 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 80 , Vila Nova Conceição,"Rua João Lourenço, 763"
12,   R$ 8.800 /Mês  ,  3   Quartos  ,"Rua Pensilvânia, 1342 - Cidade Monções, São Paulo - SP",  5   Banheiros  ,  3   Vagas  , 130 , Cidade Monções,"Rua Pensilvânia, 1342"
13,   R$ 900 /Mês  ,  2   Quartos  ,"Rua das Perobeiras - Chácara Santa Maria, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 45 , Chácara Santa Maria,Rua das Perobeiras
14,   R$ 5.300 /Mês  ,  3   Quartos  ,"Rua Alves Guimarães - Pinheiros, São Paulo - SP",  4   Banheiros  ,  2   Vagas  , 116 , Pinheiros,Rua Alves Guimarães
15,   R$ 1.900 /Mês  ,  2   Quartos  ,"Vila Andrade, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 57 , SP,"Vila Andrade, São Paulo"
16,   R$ 2.880 /Mês  ,  1   Quarto  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 33 , Santo Amaro,"Rua Henri Dunant, 1066"
17,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Alvorada - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 67 , Vila Olímpia,Rua Alvorada
18,   R$ 8.000 /Mês  ,  2   Quartos  ,"Alameda Jauaperi, 1467 - Moema, São Paulo - SP",  5   Banheiros  ,  4   Vagas  , 287 , Moema,"Alameda Jauaperi, 1467"
19,   R$ 1.800 /Mês  ,  1   Quarto  ,"Rua André Casado, 215 - Sumaré, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Sumaré,"Rua André Casado, 215"
20,   R$ 3.000 /Mês  ,  1   Quarto  ,"Rua Michigan, 531 - Cidade Monções, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 48 , Cidade Monções,"Rua Michigan, 531"
21,   R$ 2.400 /Mês  ,  2   Quartos  ,"Rua Jacques Félix, 724 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 72 , Vila Nova Conceição,"Rua Jacques Félix, 724"
22,   R$ 1.050 /Mês  ,  1   Quarto  ,"Rua Tenente Otávio Gomes, 330 - Aclimação, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 34 , Aclimação,"Rua Tenente Otávio Gomes, 330"
23,   R$ 1.600 /Mês  ,  2   Quartos  ,"Rua Vinte e Cinco de Janeiro - Luz, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 44 , Luz,Rua Vinte e Cinco de Janeiro
24,   R$ 2.300 /Mês  ,  1   Quarto  ,"Praça da República, 401 - República, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 30 , República,"Praça da República, 401"
25,   R$ 5.400 /Mês  ,  2   Quartos  ,"Rua Peixoto Gomide, 596 - Jardim Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 72 , Jardim Paulista,"Rua Peixoto Gomide, 596"
26,   R$ 2.500 /Mês  ,  2   Quartos  ,"Rua Marquês de Itu, 181 - Vila Buarque, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Vila Buarque,"Rua Marquês de Itu, 181"
27,   R$ 1.700 /Mês  ,  2   Quartos  ,"Avenida Santa Catarina, 1531 - Vila Mascote, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 54 , Vila Mascote,"Avenida Santa Catarina, 1531"
28,   R$ 4.300 /Mês  ,  1   Quarto  ,"Rua Alves Guimarães, 1120 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 45 , Pinheiros,"Rua Alves Guimarães, 1120"
29,   R$ 2.000 /Mês    R$ 460.000   ,  1   Quarto  ,"Rua Bela Cintra, 221 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 45 , Consolação,"Rua Bela Cintra, 221"
30,   R$ 3.000 /Mês  ,  3   Quartos  ,"Rua Iperoig, 501 - Perdizes, São Paulo - SP",  3   Banheiros  ,  --   Vaga  , 126 , Perdizes,"Rua Iperoig, 501"
31,   R$ 2.700 /Mês  ,  2   Quartos  ,"Rua Leopoldo Couto Magalhães Júnior - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 79 , Itaim Bibi,Rua Leopoldo Couto Magalhães Júnior
32,   R$ 1.390 /Mês  ,  1   Quarto  ,"Rua Guimarães Passos, 133 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 60 , Vila Mariana,"Rua Guimarães Passos, 133"
33,   R$ 850 /Mês  ,  1   Quarto  ,"Rua Plínio Salgado, 245 - Jardim Peri Peri, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 15 , Jardim Peri Peri,"Rua Plínio Salgado, 245"
34,   R$ 3.950 /Mês  ,  2   Quartos  ,"Rua Leopoldo de Bulhões, 59 - Vila Clementino, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 57 , Vila Clementino,"Rua Leopoldo de Bulhões, 59"
35,   R$ 7.800 /Mês  ,  3   Quartos  ,"Rua Carlos Weber, 757 - Vila Leopoldina, São Paulo - SP",  5   Banheiros  ,  3   Vagas  , 175 , Vila Leopoldina,"Rua Carlos Weber, 757"
0,   R$ 7.400 /Mês  ,  3   Quartos  ,"Rua Araguari - Vila Uberabinha, São Paulo - SP",  5   Banheiros  ,  2   Vagas  , 124 , Vila Uberabinha,Rua Araguari
1,   R$ 2.950 /Mês  ,  1   Quarto  ,"Rua Tucuna, 824 - Perdizes, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Perdizes,"Rua Tucuna, 824"
2,   R$ 1.500 /Mês  ,  2   Quartos  ,"Rua Coronel Camisão, 409 - Vila Gomes, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 72 , Vila Gomes,"Rua Coronel Camisão, 409"
3,   R$ 3.100 /Mês  ,  3   Quartos  ,"Rua Giovani Recordati, 153 - Parque São Domingos, São Paulo - SP",  2   Banheiros  ,  2   Vagas  , 74 , Parque São Domingos,"Rua Giovani Recordati, 153"
4,   R$ 4.200 /Mês    R$ 770.000   ,  1   Quarto  ,"Rua George Ohm, 330 - Cidade Monções, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 52 , Cidade Monções,"Rua George Ohm, 330"
5,   R$ 4.000 /Mês  ,  2   Quartos  ,"Rua Major Quedinho - Centro, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 65 , Centro,Rua Major Quedinho
6,   R$ 5.000 /Mês  ,  2   Quartos  ,"Avenida Doutor Cardoso de Melo, 1046 - Vila Olímpia, São Paulo - SP",  3   Banheiros  ,  2   Vagas  , 81 , Vila Olímpia,"Avenida Doutor Cardoso de Melo, 1046"
7,   R$ 3.900 /Mês  ,  2   Quartos  ,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 54 , Consolação,"Rua Caio Prado, 363"
8,   R$ 7.000 /Mês  ,  2   Quartos  ,"Rua Kansas, 1700 - Brooklin Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 84 , Brooklin Paulista,"Rua Kansas, 1700"
9,   R$ 3.400 /Mês  ,  2   Quartos  ,"Rua Oscar Caravelas, 280 - Sumarezinho, São Paulo - SP",  2   Banheiros  ,  2   Vagas  , 88 , Sumarezinho,"Rua Oscar Caravelas, 280"
10,   R$ 1.500 /Mês  ,  1   Quarto  ,"Rua Maria Antônia, 173 - Vila Buarque, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 26 , Vila Buarque,"Rua Maria Antônia, 173"
11,   R$ 5.500 /Mês  ,  3   Quartos  ,"Rua João Lourenço, 763 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 80 , Vila Nova Conceição,"Rua João Lourenço, 763"
12,   R$ 8.800 /Mês  ,  3   Quartos  ,"Rua Pensilvânia, 1342 - Cidade Monções, São Paulo - SP",  5   Banheiros  ,  3   Vagas  , 130 , Cidade Monções,"Rua Pensilvânia, 1342"
13,   R$ 900 /Mês  ,  2   Quartos  ,"Rua das Perobeiras - Chácara Santa Maria, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 45 , Chácara Santa Maria,Rua das Perobeiras
14,   R$ 5.300 /Mês  ,  3   Quartos  ,"Rua Alves Guimarães - Pinheiros, São Paulo - SP",  4   Banheiros  ,  2   Vagas  , 116 , Pinheiros,Rua Alves Guimarães
15,   R$ 1.900 /Mês  ,  2   Quartos  ,"Vila Andrade, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 57 , SP,"Vila Andrade, São Paulo"
16,   R$ 2.880 /Mês  ,  1   Quarto  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 33 , Santo Amaro,"Rua Henri Dunant, 1066"
17,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Alvorada - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 67 , Vila Olímpia,Rua Alvorada
18,   R$ 8.000 /Mês  ,  2   Quartos  ,"Alameda Jauaperi, 1467 - Moema, São Paulo - SP",  5   Banheiros  ,  4   Vagas  , 287 , Moema,"Alameda Jauaperi, 1467"
19,   R$ 1.800 /Mês  ,  1   Quarto  ,"Rua André Casado, 215 - Sumaré, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Sumaré,"Rua André Casado, 215"
20,   R$ 3.000 /Mês  ,  1   Quarto  ,"Rua Michigan, 531 - Cidade Monções, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 48 , Cidade Monções,"Rua Michigan, 531"
21,   R$ 2.400 /Mês  ,  2   Quartos  ,"Rua Jacques Félix, 724 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 72 , Vila Nova Conceição,"Rua Jacques Félix, 724"
22,   R$ 1.050 /Mês  ,  1   Quarto  ,"Rua Tenente Otávio Gomes, 330 - Aclimação, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 34 , Aclimação,"Rua Tenente Otávio Gomes, 330"
23,   R$ 1.600 /Mês  ,  2   Quartos  ,"Rua Vinte e Cinco de Janeiro - Luz, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 44 , Luz,Rua Vinte e Cinco de Janeiro
24,   R$ 2.300 /Mês  ,  1   Quarto  ,"Praça da República, 401 - República, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 30 , República,"Praça da República, 401"
25,   R$ 5.400 /Mês  ,  2   Quartos  ,"Rua Peixoto Gomide, 596 - Jardim Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 72 , Jardim Paulista,"Rua Peixoto Gomide, 596"
26,   R$ 2.500 /Mês  ,  2   Quartos  ,"Rua Marquês de Itu, 181 - Vila Buarque, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Vila Buarque,"Rua Marquês de Itu, 181"
27,   R$ 1.700 /Mês  ,  2   Quartos  ,"Avenida Santa Catarina, 1531 - Vila Mascote, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 54 , Vila Mascote,"Avenida Santa Catarina, 1531"
28,   R$ 4.300 /Mês  ,  1   Quarto  ,"Rua Alves Guimarães, 1120 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 45 , Pinheiros,"Rua Alves Guimarães, 1120"
29,   R$ 2.000 /Mês    R$ 460.000   ,  1   Quarto  ,"Rua Bela Cintra, 221 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 45 , Consolação,"Rua Bela Cintra, 221"
30,   R$ 3.000 /Mês  ,  3   Quartos  ,"Rua Iperoig, 501 - Perdizes, São Paulo - SP",  3   Banheiros  ,  --   Vaga  , 126 , Perdizes,"Rua Iperoig, 501"
31,   R$ 2.700 /Mês  ,  2   Quartos  ,"Rua Leopoldo Couto Magalhães Júnior - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 79 , Itaim Bibi,Rua Leopoldo Couto Magalhães Júnior
32,   R$ 1.390 /Mês  ,  1   Quarto  ,"Rua Guimarães Passos, 133 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 60 , Vila Mariana,"Rua Guimarães Passos, 133"
33,   R$ 850 /Mês  ,  1   Quarto  ,"Rua Plínio Salgado, 245 - Jardim Peri Peri, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 15 , Jardim Peri Peri,"Rua Plínio Salgado, 245"
34,   R$ 3.950 /Mês  ,  2   Quartos  ,"Rua Leopoldo de Bulhões, 59 - Vila Clementino, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 57 , Vila Clementino,"Rua Leopoldo de Bulhões, 59"
35,   R$ 7.800 /Mês  ,  3   Quartos  ,"Rua Carlos Weber, 757 - Vila Leopoldina, São Paulo - SP",  5   Banheiros  ,  3   Vagas  , 175 , Vila Leopoldina,"Rua Carlos Weber, 757"
0,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 60 , Vila Olímpia,"Rua Helena, 52"
1,   R$ 1.100 /Mês  ,  2   Quartos  ,"Avenida do Oratório, 5923 - Jardim Ângela (Zona Leste), São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 122 , Jardim Ângela (Zona Leste),"Avenida do Oratório, 5923"
2,   R$ 3.100 /Mês  ,  1   Quarto  ,"Rua Luís Dias, 135 - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 35 , Itaim Bibi,"Rua Luís Dias, 135"
3,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Tamandaré, 464 - Liberdade, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 46 , Liberdade,"Rua Tamandaré, 464"
4,   R$ 4.000 /Mês  ,  2   Quartos  ,"Rua Major Quedinho - Centro, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 65 , Centro,Rua Major Quedinho
5,   R$ 3.900 /Mês  ,  2   Quartos  ,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 54 , Consolação,"Rua Caio Prado, 363"
6,   R$ 7.000 /Mês  ,  2   Quartos  ,"Rua Volta Redonda, 757 - Campo Belo, São Paulo - SP",  5   Banheiros  ,  3   Vagas  , 276 , Campo Belo,"Rua Volta Redonda, 757"
7,   R$ 6.300 /Mês  ,  1   Quarto  ,"Praça Augusto Rademaker Grunewald, 111 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 54 , Vila Olímpia,"Praça Augusto Rademaker Grunewald, 111"
8,   R$ 3.100 /Mês  ,  1   Quarto  ,"Rua Diogo Jácome, 954 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 50 , Vila Nova Conceição,"Rua Diogo Jácome, 954"
9,   R$ 2.300 /Mês  ,  2   Quartos  ,"Rua Visconde de Inhaúma - Vila da Saúde, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Vila da Saúde,Rua Visconde de Inhaúma
10,   R$ 5.500 /Mês  ,  3   Quartos  ,"Rua João Lourenço, 763 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 80 , Vila Nova Conceição,"Rua João Lourenço, 763"
11,   R$ 3.000 /Mês  ,  1   Quarto  ,"Rua Doutor Diogo de Faria - Vila Clementino, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 25 , Vila Clementino,Rua Doutor Diogo de Faria
12,   R$ 1.700 /Mês  ,  2   Quartos  ,"Rua Michael Faraday, 22 - Cidade Monções, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Cidade Monções,"Rua Michael Faraday, 22"
13,   R$ 2.000 /Mês  ,  1   Quarto  ,"Rua Cubatão, 1140 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 32 , Vila Mariana,"Rua Cubatão, 1140"
14,   R$ 2.500 /Mês  ,  1   Quarto  ,"Travessa Humberto I, 1005 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 21 , Vila Mariana,"Travessa Humberto I, 1005"
15,   R$ 4.500 /Mês  ,  3   Quartos  ,"Alameda Jaú, 150 - Jardim Paulista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 110 , Jardim Paulista,"Alameda Jaú, 150"
16,   R$ 2.880 /Mês  ,  1   Quarto  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 33 , Santo Amaro,"Rua Henri Dunant, 1066"
17,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Dom Constantino Barradas, 120 - Vila Gumercindo, São Paulo - SP",  2   Banheiros  ,  2   Vagas  , 80 , Vila Gumercindo,"Rua Dom Constantino Barradas, 120"
18,   R$ 5.500 /Mês    R$ 1.650.000   ,  3   Quartos  ,"Avenida Padre Pereira de Andrade, 545 - Boaçava, São Paulo - SP",  4   Banheiros  ,  3   Vagas  , 165 , Boaçava,"Avenida Padre Pereira de Andrade, 545"
19,   R$ 4.300 /Mês  ,  1   Quarto  ,"Rua Alves Guimarães, 1120 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 45 , Pinheiros,"Rua Alves Guimarães, 1120"
20,   R$ 2.400 /Mês  ,  2   Quartos  ,"Rua Jacques Félix, 724 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 72 , Vila Nova Conceição,"Rua Jacques Félix, 724"
